epoch,relay_cpu_ticks,relay_rss_kb,relay_thr,relay_fd,box_total,box_idle,tx_bytes,tx_packets,rx_bytes,bw_out_exc,bw_in_exc,pps_exc,conntrack_exc,udp_socks
1788862347,191,85632,3,11,96930631,76851353,22118913832,18329209,1748399841,0,0,0,0,1
1788862348,194,85656,3,11,96930829,76851517,22120144691,18330394,1749616880,0,0,0,0,1
1788862349,197,85660,3,11,96931025,76851681,22121470836,18331694,1750967803,0,0,0,0,1
1788862350,201,85660,3,11,96931221,76851844,22122781359,18332954,1752246165,0,0,0,0,1
1788862351,205,85660,3,11,96931416,76852006,22124072631,18334231,1753521071,0,0,0,0,1
1788862352,208,85660,3,11,96931611,76852169,22125398109,18335519,1754813620,0,0,0,0,1
1788862353,211,85660,3,11,96931808,76852332,22126668298,18336754,1756071804,0,0,0,0,1
1788862354,214,85664,3,11,96932005,76852495,22127896145,18337933,1757288734,0,0,0,0,1
1788862355,217,85672,3,11,96932202,76852658,22129282119,18339241,1758662329,0,0,0,0,1
1788862356,221,85672,3,11,96932398,76852821,22130532476,18340446,1759900483,0,0,0,0,1
1788862358,224,85672,3,11,96932595,76852985,22131865470,18341764,1761247630,0,0,0,0,1
1788862359,227,85672,3,11,96932792,76853149,22133168020,18343035,1762507444,0,0,0,0,1
1788862360,231,85672,3,11,96932991,76853312,22134285270,18344102,1763796849,0,0,0,0,1
1788862361,234,85688,3,11,96933186,76853474,22135745119,18345481,1765061065,0,0,0,0,1
1788862362,237,85688,3,11,96933384,76853636,22137044016,18346789,1766366122,0,0,0,0,1
1788862363,241,85940,3,11,96933582,76853799,22138331618,18348055,1767658898,0,0,0,0,1
1788862364,244,86264,3,11,96933779,76853962,22139657967,18349280,1768931392,0,0,0,0,1
1788862365,247,86264,3,11,96933974,76854125,22140941097,18350543,1770199793,0,0,0,0,1
1788862366,251,86264,3,11,96934170,76854286,22142239947,18351825,1771491547,0,0,0,0,1
1788862367,254,86268,3,11,96934367,76854449,22143530314,18353070,1772774057,0,0,0,0,1
1788862368,257,86268,3,11,96934566,76854612,22144813828,18354322,1774031076,0,0,0,0,1
1788862369,261,86268,3,11,96934764,76854775,22146126936,18355595,1775332697,0,0,0,0,1
1788862370,265,86268,3,11,96934960,76854938,22147335554,18356734,1776531609,0,0,0,0,1
1788862371,268,86268,3,11,96935158,76855101,22148710702,18358007,1777895722,0,0,0,0,1
1788862372,271,86288,3,11,96935353,76855264,22149921329,18359150,1779094884,0,0,0,0,1
1788862373,274,86308,3,11,96935553,76855428,22151310897,18360451,1780470691,0,0,0,0,1
1788862374,277,86308,3,11,96935753,76855592,22152610993,18361693,1781757439,0,0,0,0,1
1788862375,280,86308,3,11,96935951,76855755,22153839278,18362882,1782971168,0,0,0,0,1
1788862376,284,86308,3,11,96936150,76855918,22155180232,18364145,1784299051,0,0,0,0,1
1788862377,286,86308,3,11,96936346,76856080,22156432440,18365334,1785538755,0,0,0,0,1
1788862378,290,86312,3,11,96936546,76856245,22157769308,18366596,1786863632,0,0,0,0,1
1788862379,296,89804,3,11,96936741,76856404,22161702366,18370039,1788215622,0,0,0,0,1
1788862380,307,90884,3,11,96936938,76856560,22169150534,18376417,1789606185,0,0,0,0,1
1788862381,316,90884,3,11,96937135,76856716,22175595287,18382021,1790957949,0,0,0,0,1
1788862383,325,90884,3,11,96937331,76856872,22181954360,18387699,1792301147,0,0,0,0,1
1788862384,335,90892,3,11,96937531,76857028,22188382303,18393279,1793639852,0,0,0,0,1
1788862385,345,90896,3,11,96937728,76857186,22194954975,18398967,1795015339,0,0,0,0,1
1788862386,354,90904,3,11,96937928,76857342,22201151582,18404316,1796310378,0,0,0,0,1
1788862387,363,90904,3,11,96938124,76857497,22207742519,18410244,1797704632,0,0,0,0,1
1788862388,372,90904,3,11,96938320,76857654,22214093319,18415715,1799011657,0,0,0,0,1
1788862389,381,90904,3,11,96938517,76857812,22220527036,18421339,1800350785,0,0,0,0,1
1788862390,391,90904,3,11,96938717,76857968,22227053461,18427130,1801714224,0,0,0,0,1
1788862391,399,90904,3,11,96938913,76858125,22233421495,18432791,1803066893,0,0,0,0,1
1788862392,409,90904,3,11,96939109,76858282,22239808373,18438404,1804375986,0,0,0,0,1
1788862393,418,90984,3,11,96939308,76858438,22246467196,18444199,1805770466,0,0,0,0,1
1788862394,428,91016,3,11,96939505,76858593,22252871408,18449936,1807111127,0,0,0,0,1
1788862395,438,91016,3,11,96939700,76858750,22258467824,18454831,1808286581,0,0,0,0,1
1788862396,447,91020,3,11,96939896,76858906,22265729742,18461057,1809813295,0,0,0,0,1
1788862397,456,91020,3,11,96940093,76859063,22272048660,18466609,1811166822,0,0,0,0,1
1788862398,467,91020,3,11,96940292,76859217,22278518743,18472318,1812529483,0,0,0,0,1
1788862399,476,91020,3,11,96940490,76859374,22284946201,18478001,1813850424,0,0,0,0,1
1788862400,486,91024,3,11,96940689,76859530,22291372963,18483617,1815199970,0,0,0,0,1
1788862401,496,91024,3,11,96940888,76859687,22297917784,18489557,1816610477,0,0,0,0,1
1788862402,505,91728,3,11,96941085,76859842,22304447625,18495244,1817943630,0,0,0,0,1
1788862403,514,92216,3,11,96941281,76859999,22310279409,18500344,1819163985,0,0,0,0,1
1788862404,524,92860,3,11,96941479,76860155,22317327063,18506578,1820655301,0,0,0,0,1
1788862405,534,93224,3,11,96941677,76860311,22323592930,18511941,1821960199,0,0,0,0,1
1788862406,542,93428,3,11,96941874,76860468,22329835903,18517323,1823271231,0,0,0,0,1
1788862408,552,94004,3,11,96942070,76860623,22336362700,18522929,1824643575,0,0,0,0,1
1788862409,561,94728,3,11,96942268,76860781,22342970474,18528642,1826025307,0,0,0,0,1
1788862410,570,95044,3,11,96942465,76860938,22349481029,18534320,1827388179,0,0,0,0,1
1788862411,580,95464,3,11,96942664,76861095,22355675761,18539682,1828689378,0,0,0,0,1
1788862412,588,95752,3,11,96942860,76861252,22361595625,18544830,1829930479,0,0,0,0,1
1788862413,597,95756,3,11,96943058,76861410,22368420193,18550693,1831351622,0,0,0,0,1
1788862414,605,95776,3,11,96943257,76861568,22375080639,18556459,1832745651,0,0,0,0,1
1788862415,614,95780,3,11,96943456,76861726,22381426448,18561932,1834069475,0,0,0,0,1
1788862416,622,95780,3,11,96943652,76861882,22387668634,18567434,1835371186,0,0,0,0,1
1788862417,631,95780,3,11,96943849,76862038,22394409802,18573383,1836781938,0,0,0,0,1
1788862418,641,95780,3,11,96944047,76862195,22400818442,18579072,1838124852,0,0,0,0,1
1788862419,651,95780,3,11,96944243,76862352,22407415154,18584916,1839511953,0,0,0,0,1
1788862420,660,95780,3,11,96944440,76862508,22413773925,18590524,1840846540,0,0,0,0,1
1788862421,670,95780,3,11,96944635,76862663,22420336858,18596337,1842225269,0,0,0,0,1
1788862422,679,95780,3,11,96944832,76862819,22426544491,18601818,1843528869,0,0,0,0,1
1788862423,688,95780,3,11,96945031,76862977,22433141209,18607541,1844907571,0,0,0,0,1
1788862424,697,95780,3,11,96945230,76863135,22439080940,18612712,1846155686,0,0,0,0,1
1788862425,706,95780,3,11,96945426,76863290,22446086076,18618734,1847616678,0,0,0,0,1
1788862426,715,95780,3,11,96945623,76863447,22452110190,18623980,1848877717,0,0,0,0,1
1788862427,725,95780,3,11,96945821,76863605,22458785501,18629733,1850275701,0,0,0,0,1
1788862428,733,95780,3,11,96946019,76863762,22465418804,18635558,1851664071,0,0,0,0,1
1788862429,744,95780,3,11,96946215,76863916,22471769674,18641153,1853001361,0,0,0,0,1
1788862430,754,95796,3,11,96946414,76864072,22478218631,18646888,1854377789,0,0,0,0,1
1788862431,763,95796,3,11,96946609,76864228,22484577357,18652487,1855687175,0,0,0,0,1
1788862433,773,95808,3,11,96946807,76864385,22491073634,18658123,1857045561,0,0,0,0,1
1788862434,780,95808,3,11,96947005,76864543,22497178009,18663401,1858320249,0,0,0,0,1
