arm,inject,delay_b,leg_a_dgrams,leg_b_dgrams,seq_offset,mergeable,align_yield_pct,merge_dgrams,merge_covered_by_b,merge_lost_dgrams,merge_lost_ts_packets,merge_longest_gap_ms,merge_content_pct,merge_conflicts,merge_cc_errors,merge_pcrs,merge_pcr_over40_pct,merge_pcr_gt100ms,merge_pcr_backward,merge_pcr_accuracy_fail,skew_abs_max_ms,leg_a_silence_max_ms,leg_a_carrier_after_content_s
b,loss1,0,23063,23175,0,False,53.3972,23175,112,0,0,0.0,48.02,10748,82,2598,1.5402,19,0,26,2.616,8.2,0.62
b,loss3,0,22847,23175,-1,False,49.3982,23175,328,0,0,0.0,48.04,11561,240,2580,2.2102,19,7,64,4.131,8.4,0.622
b,none,20,23175,23176,4591,False,30.1339,23175,0,0,0,0.0,46.32,7672,0,2588,1.4302,20,0,0,32097.871,3.9,0.0
b,none,0,23175,23176,-1,False,46.125,23176,2,0,0,0.0,48.07,12485,0,2593,1.5818,16,0,0,6.997,4.1,0.605
b,quicloss_recover,0,14419,23176,-1,False,41.1471,23175,8756,0,0,0.0,50.78,8486,3,2590,1.2746,15,2,1,23045.693,23049.0,0.0
b,termpub,0,13271,23175,0,False,45.46,23174,9903,0,0,0.0,51.75,7238,1,2612,1.4171,17,0,1,3.451,3.8,0.0
c,blackout,0,11786,23174,0,True,100.0,23174,11388,0,0,0.0,48.09,0,0,2594,1.5040,16,0,0,0.335,3.6,0.0
c,delay10,0,23171,23174,0,True,100.0,23174,3,0,0,0.0,48.1,0,0,2593,1.4660,16,0,0,13.134,13.2,0.608
c,delay200,0,23100,23176,0,True,100.0,23176,76,0,0,0.0,48.08,0,0,2598,1.4247,15,0,0,200.02,202.1,0.416
c,delay50,0,23156,23176,0,True,100.0,23176,20,0,0,0.0,48.03,0,0,2595,1.5035,16,0,0,50.057,52.1,0.565
c,loss1,0,23072,23176,0,True,100.0,23176,104,0,0,0.0,48.11,0,0,2590,1.5064,16,0,0,0.199,6.3,0.594
c,loss3,0,22844,23175,0,True,100.0,23175,331,0,0,0.0,48.09,0,0,2593,1.5818,16,0,0,0.189,8.3,0.617
c,none,0,23176,23176,0,True,100.0,23176,0,0,0,0.0,48.09,0,0,2594,1.5040,17,0,0,0.228,3.8,0.604
d,none,0,23175,23175,0,True,100.0,23175,1,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,8.806,8.9,0.0
d,none,20,23175,23175,4559,False,0.0806,23175,0,0,0,0.0,99.91,18597,0,2928,1.1274,27,0,0,12011.469,4.0,0.0
d,quicloss_recover,0,17993,23176,0,False,68.5565,23176,5183,0,0,0.0,99.34,5657,2,2930,1.1608,23,0,0,5.805,13643.9,0.0
d,killpub,0,12334,23175,0,True,100.0,23175,10841,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,2.387,4.0,0.0
d,termpub,0,12333,23174,0,True,100.0,23174,10842,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,3.061,3.9,0.0
d,killrelay,0,12334,23175,0,True,100.0,23174,10840,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,3.989,4.0,0.0
d,killegress,0,11781,23174,0,True,100.0,23171,11390,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,10.768,4.3,0.0
d,blackout,0,11788,23175,0,True,100.0,23175,11387,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,2.421,4.1,0.0
d,loss1,0,23045,23175,0,True,100.0,23175,130,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,8.296,8.3,0.0
d,loss3,0,22848,23175,0,True,100.0,23174,326,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,2.618,8.3,0.0
d,delay50,0,23155,23175,0,True,100.0,23171,16,0,0,0.0,99.91,0,0,2934,1.1592,23,0,0,46.866,52.1,0.0
